,count,mean,std,min,25%,50%,75%,max
239,2704.0,39.475818201923076,0.5906588334939749,37.7232,39.0901315,39.643914,39.96333375,40.25618
241,2704.0,39.475444201183436,0.5907441967330189,37.722725,39.0892265,39.6433145,39.96307075,40.25585
243,2704.0,39.170557314718934,0.5907783986395138,37.417778,38.784375000000004,39.3384335,39.658195,39.95097
247,2704.0,37.940741422337275,0.5933035114310556,36.18544,37.55964,38.1084175,38.429507,38.72485
249,2704.0,37.94081046116864,0.5932861175079073,36.18554,37.559675999999996,38.1084225,38.429592,38.72489
251,2704.0,34.27263934763313,0.596096973317705,32.516293,33.894450250000006,34.440506,34.76511975,35.06383
253,2704.0,32.40145529918639,0.6120679894210413,30.644882,31.95876625,32.5696135,32.912292750000006,33.219315
255,2704.0,35.15610869970414,0.6078558605834011,33.407112,34.719297749999996,35.321569999999994,35.666517,35.975548
257,2704.0,43.559921877588756,1.5608778837712936,40.94276,42.01813125,44.316266999999996,44.73970575,52.166138
259,2704.0,41.10538910798817,1.6216759394838316,38.367435,39.48394075,41.9148045,42.344658249999995,49.726307
261,2704.0,48.606920917529585,1.7995993945045463,45.491196,46.81490825,49.5682045,50.015466,57.28153
263,2704.0,48.66085711242604,1.8711431143882498,45.439728,46.768592250000005,49.6889035,50.14291575,57.340576
265,2704.0,46.725841401627214,0.7996319940337931,44.75743,46.098831,46.774761999999996,47.32138075,52.719025
267,2704.0,40.31240781656805,1.004261116894179,37.871777,39.511163249999996,40.546726,41.111922,46.446335
269,2704.0,46.506973735946744,0.8328318354942441,44.362373,45.854001749999995,46.542666,47.1687085,52.272835
271,2704.0,44.396312818047335,0.752255109953707,42.30843,43.830738,44.4198915,45.00359675,49.705753
273,2704.0,42.13951942862426,0.6711048630274112,40.219494,41.6742615,42.266984,42.6526525,46.97672
275,2704.0,41.300348,0.6600110355862172,39.40477,40.855481000000005,41.4369885,41.79478675,46.10482
River,2704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lake,2704.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2704.0,5.928081977071006,0.6345608720025514,3.873143,5.37998595,5.96583605,6.530897875000001,6.9857106
2,2704.0,7.878585590384614,0.6178336270168718,6.1272445,7.4907055,8.077548499999999,8.39959025,8.705315
3,2704.0,10.082815082655324,0.5180666063516968,8.803062,9.64980025,10.232993,10.51219,10.820399
